Name	TeReo	ID	IslandID	PartID	ImageMapID	GooglePlaceName	GooglePlaceID
Wellington	Te Upoko-o-te-Ika	1	1	1	1	Wellington	ChIJy3TpSfyxOG0RcLQTomPvAAo
Manawatū	Manawatū	2	1	1	1	Manawatu	ChIJT6NU85_MQW0RMKyiQ2HvAAQ
Rangitikeī	Rangitikeī	3	1	1	1	Rangitikei	ChIJ02ZW_qBsam0R8KyiQ2HvAAQ
Taupō	Taupō	4	1	1	1	Taupo	ChIJlTlmoTVcaW0RIq7TvZ7azEo
Wʰanganui	Wʰanganui	5	1	1	1	Whanganui District	ChIJw02CFVLGam0RIK6iQ2HvAAQ
Taranaki	Taranaki	6	1	1	1	Taranaki	ChIJKbaycjcEFW0R8b8kFBWuJPQ
Wairarapa	Wairarapa	7	1	1	1	South Wairarapa District	ChIJy4Fhqcs2R20RUK2iQ2HvAAQ
Hawkes Bay	Te Matau-a-Māui	8	1	1	1	Hawkes Bay	ChIJwYEchkOzaW0RZyhYJpjiVAQ
East Coast	Te Tai Rāwhiti	9	1	1	1	Gisborne District	ChIJywobglO-ZW0RHvjoTHu-q8w
(Eastern) Bay of Plenty	Te Moana-a-Toi	10	1	2	1	Bay of Plenty	ChIJZVO9teMdb20REOnhQ55OiPs
Bay of Plenty (Waiariki)	Waiariki	11	1	2	2	Bay of Plenty	ChIJZVO9teMdb20REOnhQ55OiPs
Coromandel	Te Tara-o-te-Ika a Māui	12	1	2	2	Coromandel	ChIJyx2VcyD6cm0RKHS5gdek8Xo
Hauraki	Hauraki	13	1	2	2	Hauraki	ChIJsTtaW3GCbW0R0KuiQ2HvAAQ
King Country	Te Rohe Pōtae	14	1	2	2	Waitomo	ChIJr-dUN26kbG0REK6iQ2HvAAQ
Waikato	Waikato	15	1	2	2	Waikato	ChIJ9Zg2xrg5bW0RwK2iQ2HvAAQ
Auckland	Tāmaki	16	1	2	3	Auckland	ChIJ--acWvtHDW0RF5miQ2HvAAU
Northland	Te Tai Tokerau	17	1	2	3	Northland	ChIJSXUwhBupC20RTDf7LvIIKT0
Other		18	3	2			
Top of the South		19	2	3	4	Tasman	ChIJp4D0-_oSO20RxHRglie6KJk
South Island East Coast		20	2	3	4	Canterbury	ChIJA9l1eDPYLW0RgeJpMTBkdzM
Otago	Otago	21	2	3	5	Otago	ChIJFe1jDnUQK6gRt_6SQX6lQmA
The Southern Lakes		22	2	3	5	Queenstown Lakes District	ChIJJZSIXgcW1akRoFV5hIbvAAQ
Southland	Murihiku	23	2	3	5	Southland	ChIJzbQ_BcVz1KkRIhhERwwn9VU
West Coast	Te Tai Poutini	24	2	3	5	West Coast	ChIJ2Yjvx8umJW0Romz7lRXnyOE
Chatham Islands	Wharekauri	25	2	3	5	Chatham Islands	ChIJM-fHqWXos3IRiC_KQFZExk8