ID	Number	Name	TeReo	Island	IslandID	Part	PartID	Map	MapID	Area	Population	ISO3166-2	WikiData	WikiLink	WikiMi
re_1	1	Northland	Te Tai Tokerau	North Island	is_1	Upper North Island	pa_2	Auckland and Northland	ma_3	12498	179100	NZ-NTL	Q59596	https://en.wikipedia.org/wiki/Northland_Region	https://mi.wikipedia.org/wiki/Te_Tai-tokerau
re_2	2	Auckland	Tāmaki-makau-rau	North Island	is_1	Upper North Island	pa_2	Auckland and Northland	ma_3	4940	1695900	NZ-AUK	Q726917	https://en.wikipedia.org/wiki/Auckland_Region	https://mi.wikipedia.org/wiki/T%C4%81maki-makau-rau_(takiw%C4%81)
re_3	3		Waikato	North Island	is_1	Upper North Island	pa_2	Central North Island	ma_2	23900	468800	NZ-WKO	Q139918	https://en.wikipedia.org/wiki/Waikato	https://mi.wikipedia.org/wiki/Waikato
re_4	4	Bay of Plenty	Te Moana-a-Toi	North Island	is_1	Lower North Island	pa_1	Central North Island	ma_2	12071	305700	NZ-BOP	Q2192924	https://en.wikipedia.org/wiki/Bay_of_Plenty	https://mi.wikipedia.org/wiki/Te_Moana-a-Toi
re_5	5	Gisborne	Te Tai Rāwhiti	North Island	is_1	Lower North Island	pa_1	Lower North Island	ma_1	8386	49100	NZ-GIS	Q140246	https://en.wikipedia.org/wiki/Gisborne_District	https://mi.wikipedia.org/wiki/Te_Tai-r%C4%81whiti
re_6	6	Hawke's Bay	Te Matau-a-Māui	North Island	is_1	Lower North Island	pa_1	Lower North Island	ma_1	14137	165900	NZ-HKB	Q251825	https://en.wikipedia.org/wiki/Hawke%27s_Bay_Region	https://mi.wikipedia.org/wiki/Heretaunga,_takiw%C4%81
re_7	7		Taranaki	North Island	is_1	Lower North Island	pa_1	Lower North Island	ma_1	7254	119600	NZ-TKI	Q140207	https://en.wikipedia.org/wiki/Taranaki	https://mi.wikipedia.org/wiki/Taranaki
re_8	8	Manawatu-Wanganui	Manawatū-Whanganui	North Island	is_1	Lower North Island	pa_1	Lower North Island	ma_1	22221	234500	NZ-MWT	Q139907	https://en.wikipedia.org/wiki/Manawatu-Wanganui	https://mi.wikipedia.org/wiki/Manawat%C5%AB-Whanganui
re_9	9	Wellington	Te Whanga-nui-a-Tara	North Island	is_1	Lower North Island	pa_1	Lower North Island	ma_1	8049	521500	NZ-WGN	Q856010	https://en.wikipedia.org/wiki/Wellington_Region	https://mi.wikipedia.org/wiki/Te_Whanga-nui-a-Tara
re_10	10	Tasman	Te Tai-o-Aorere	South Island	is_2	South Island	pa_3	Northern and Eastern South Island	ma_4	9616	52100	NZ-TAS	Q666142	https://en.wikipedia.org/wiki/Tasman_Region	https://mi.wikipedia.org/wiki/Te_Tai-o-Aorere
re_11	11	Nelson	Whakatū	South Island	is_2	South Island	pa_3	Northern and Eastern South Island	ma_4	424	51900	NZ-NSN	Q1995856	https://en.wikipedia.org/wiki/Nelson,_New_Zealand	https://mi.wikipedia.org/wiki/Whakatu
re_12	12	Marlborough	Te Tauihu-o-te-waka	South Island	is_2	South Island	pa_3	Northern and Eastern South Island	ma_4	10458	46600	NZ-MBH	Q140083	https://en.wikipedia.org/wiki/Marlborough_Region	https://mi.wikipedia.org/wiki/Tauihu
re_13	13	West Coast	Te Tai Poutini	South Island	is_2	South Island	pa_3	Southern and Western South Island	ma_5	23244	32600	NZ-WTC	Q541468	https://en.wikipedia.org/wiki/West_Coast,_New_Zealand	https://mi.wikipedia.org/wiki/Te_Tai-poutini
re_14	14	Canterbury	Waitaha	South Island	is_2	South Island	pa_3	Northern and Eastern South Island	ma_4	44508	624000	NZ-CAN	Q657004	https://en.wikipedia.org/wiki/Canterbury,_New_Zealand	https://mi.wikipedia.org/wiki/Waitaha
re_15	15	Otago	Ōtākou	South Island	is_2	South Island	pa_3	Southern and Western South Island	ma_5	31209	229200	NZ-OTA	Q692912	https://en.wikipedia.org/wiki/Otago	https://mi.wikipedia.org/wiki/%C5%8Ct%C4%81kou
re_16	16	Southland	Murihiku	South Island	is_2	South Island	pa_3	Southern and Western South Island	ma_5	31195	99100	NZ-STL	Q864971	https://en.wikipedia.org/wiki/Southland,_New_Zealand	https://mi.wikipedia.org/wiki/Murihiku